,Adresse Complète,Département,Latitude,Longitude,Altitude
0,"Gare de Dakar, Boulevard du Centenaire de la Commune de Dakar, Commune de Dakar-Plateau, Arrondissement de Dakar-Plateau, Dakar, Région de Dakar, 99900, Sénégal",Dakar,14.67560365,-17.433252267596274,0.0
1,"Département de Guédiawaye, Région de Dakar, 15000, Sénégal",Guédiawaye,14.7771207,-17.390071,0.0
2,"Pikine, Commune de Pikine Ouest, Arrondissement de Pikine-Dagoudane, Département de Pikine, Région de Dakar, Sénégal",Pikine,14.751544,-17.396413,0.0
3,"Rufisque, Département de Rufisque, Région de Dakar, Sénégal",Rufisque,14.716417,-17.273844,0.0
4,"Keur Massar, Commune de Keur Massar Nord, Arrondissement de Malika, Département de Keur Massar, Région de Dakar, 17000, Sénégal",Keur Massar,14.7822567,-17.311199,0.0
5,"Bambey, Département de Bambey, Région de Diourbel, Sénégal",Bambey,14.69548,-16.449262,0.0
6,"Diourbel, Département de Diourbel, Région de Diourbel, 21600, Sénégal",Diourbel,14.654562,-16.227822,0.0
7,"Mbacké, Département de Mbacké, Région de Diourbel, 22100, Sénégal",Mbacké,14.7971224,-15.9066608,0.0
8,"Fatick, Département de Fatick, Région de Fatick, Sénégal",Fatick,14.333965,-16.404219,0.0
9,"Foundiougne, Département de Foundiougne, Région de Fatick, Sénégal",Foundiougne,14.1263545,-16.4674807,0.0
10,"Gossas, Communauté rurale de Sadio, Arrondissement de Taïf, Département de Mbacké, Région de Diourbel, Sénégal",Gossas,14.8337008,-15.5739878,0.0
11,"Kaolack, Département de Kaolack, Région de Kaolack, 24000, Sénégal",Kaolack,14.138815,-16.076391,0.0
12,"Guinguinéo, Département de Guinguinéo, Région de Kaolack, Sénégal",Guinguinéo,14.272179,-15.945573,0.0
13,"Nioro du Rip, Département de Nioro du Rip, Région de Kaolack, Sénégal",Nioro du Rip,13.745571,-15.774751,0.0
14,"Kolda, Département de Kolda, Région de Kolda, Sénégal",Kolda,12.8936085,-14.939658,0.0
15,"Vélingara, Communauté rurale de Nguidilé, Arrondissement de Mbédiène, Département de Louga, Région de Louga, 31000, Sénégal",Vélingara,15.5884742,-16.2582035,0.0
16,"Médina Yoro Foulah, Département de Médina Yoro Foulah, Région de Kolda, Sénégal",Médina Yoro Foulah,13.2928947,-14.7144753,0.0
17,"Kébémer, Département de Kébémer, Région de Louga, Sénégal",Kébémer,15.3688735,-16.4429778,0.0
18,"Linguère, Département de Linguère, Région de Louga, Sénégal",Linguère,15.3954248,-15.1153121,0.0
19,"Louga, Département de Louga, Région de Louga, 31000, Sénégal",Louga,15.6118551,-16.2233275,0.0
20,"Kanel, Département de Kanel, Région de Matam, Sénégal",Kanel,15.491026,-13.1756847,0.0
21,"Matam, Département de Matam, Région de Matam, Sénégal",Matam,15.656563,-13.255916,0.0
22,"Ranérou, Département de Ranérou-Ferlo, Région de Matam, Sénégal",Ranérou,15.2980916,-13.962285,0.0
23,"Dagana, Département de Dagana, Région de Saint-Louis, 32800, Sénégal",Dagana,16.516508,-15.50684,0.0
24,"Podor, Département de Podor, Région de Saint-Louis, Sénégal",Podor,16.652705,-14.958669,0.0
25,"Saint-Louis, Département de Saint-Louis, Région de Saint-Louis, Sénégal",Saint-Louis,16.0280445,-16.5048686,0.0
26,"Bakel, Département de Bakel, Región de Tambacounda, Sénégal",Bakel,14.9049666,-12.4568066,0.0
27,"Koumpentoum, Département de Koumpentoum, Región de Tambacounda, Sénégal",Koumpentoum,13.980418,-14.561125,0.0
28,"Tambacounda, Département de Tambacounda, Región de Tambacounda, 26000, Sénégal",Tambacounda,13.7692585,-13.6682901,0.0
29,"Goudiry, Département de Goudiry, Región de Tambacounda, 34206, Sénégal",Goudiry,14.1814908,-12.7151588,0.0
30,"Département de M'bour, Région de Thiès, Sénégal",Mbour,14.385877449999999,-16.829797609320536,0.0
31,"Thiès, Commune de Thiès Ouest, Arrondissement de Thiès Sud, Département de Thiès, Région de Thiès, Sénégal",Thiès,14.791461,-16.925605,0.0
32,"Tivaouane, Département de Tivaouane, Région de Thiès, Sénégal",Tivaouane,14.951507,-16.812868,0.0
33,"Bignona, Département de Bignona, Région de Ziguinchor, Sénégal",Bignona,12.801133,-16.22897,0.0
34,"Oussouye, Département d'Oussouye, Région de Ziguinchor, Sénégal",Oussouye,12.4889623,-16.5432771,0.0
35,"Ziguinchor, Département de Ziguinchor, Région de Ziguinchor, Sénégal",Ziguinchor,12.5634929,-16.2724609,0.0
36,"Birkelane, Département de Birkelane, Région de Kaffrine, Sénégal",Birkelane,14.1282088,-15.7469433,0.0
